Road Town	RTOW	18.43	-64.63	British Virgin Islands	VG	British Virgin Islands	VG	America/Tortola	-04:00	-04:00	840810
Cordoba	CORD	-31.4	-64.183	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	704124
Marcos Ju?rez	MJU?	-32.7	-62.1	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	704113
Rio Tercero	RTER	-32.183	-64.1	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	140867
Villa Mar?a	VMAR	-32.417	-63.25	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	625533
Vatican	VATI	41.9	12.46	Holy See (Vatican City)	VA	Holy See (Vatican City)	VA	Europe/Vatican	+01:00	+02:00	140869
Kingstown	KING	13.133	-61.217	Saint Vincent and the Grenadines	VC	Saint George	GE	America/St_Vincent	-04:00	-04:00	281682
Apia	APIA	-13.8333	-171.733	Samoa	WS	Samoa	WS	Pacific/Apia	+13:00	+14:00	352074
Ballito	BALL	-29.55	31.2	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	489798
Luj?n de Cuyo	LDCU	-33.05	-68.867	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	903035
Malarg?e	MALA	-35.467	-69.583	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	563298
Mendoza	MEND	-32.883	-68.817	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	210265
Chatsworth	CHAT	-29.9271	30.8849	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	352077
Clermont	CLER	-29.792	30.9016	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840824
Dassenhoek	DASS	-29.8575	30.7373	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	765286
Durban	DURB	-29.85	31.017	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840819
Eshowe	ESHO	-28.883	31.467	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	352068
Salta	SALT	-24.79	-65.41	Argentina	AR	Salta	SA	America/Argentina/Salta	-03:00	-03:00	840816
San Juan	SJUA	-31.538	-68.536	Argentina	AR	San Juan	SJ	America/Argentina/San_Juan	-03:00	-03:00	352125
Folweni	FOLW	-29.9956	30.8258	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	281722
Forest Hill	FHIZ	-29.7539	30.8368	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	489843
Forest Hills	FHIL	-29.7516	31.072	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	352127
Inanda	INAN	-29.683	30.9328	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	765272
Inchanga	INCH	-29.6939	30.6716	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840779
Iqadi	IQAD	-29.636	30.9191	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	625499
Kingsburgh	KING	-30.0829	30.8668	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840773
Kloof	KLOO	-29.7819	30.8368	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	420477
San Miguel de Tucuman	SMDT	-26.817	-65.217	Argentina	AR	Tucuman	TM	America/Argentina/Tucuman	-03:00	-03:00	902980
Vanadzor	VANA	40.8	44.49	Armenia	AM	Lorri	LO	Asia/Yerevan	+04:00	+04:00	489830
Gyumri	GYUM	40.7916	43.83	Armenia	AM	Shirak	SH	Asia/Yerevan	+04:00	+04:00	140920
Spitak	SPIT	40.7955	44.27	Armenia	AM	Shirak	SH	Asia/Yerevan	+04:00	+04:00	704076
Yerevan	YERE	40.1833	44.5	Armenia	AM	Yerevan	ER	Asia/Yerevan	+04:00	+04:00	489824
Oranjestad	ORAN	12.517	-70.033	Aruba	AW	Aruba	AW	America/Aruba	-04:00	-04:00	625478
Ascot Vale	AVAL	-37.783	144.917	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420455
Bacchus Marsh	BMAR	-37.683	144.45	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840794
Bairnsdale	BAIR	-37.833	147.617	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625482
Ballarat	BALL	-37.567	143.85	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	902993
Bayswater	BAYS	-37.85	145.267	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	979546
Bendigo	BEND	-36.767	144.283	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	979549
Berwick	BERW	-38.033	145.35	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	563387
Boolarra	BOOL	-38.383	146.267	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	704190
Bright	BRIG	-36.75	146.967	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840873
Cape Otway	COTW	-38.85	143.517	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	704188
Castlemaine	CAST	-37.067	144.217	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	352157
Chelsea	CHES	-38.05	145.117	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	210312
Cheltenham	CHEL	-37.969	145.048	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	489873
Cobram	COBR	-35.917	145.65	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840872
Dandenong	DAND	-37.983	145.2	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903080
Deer Park	DPAR	-37.767	144.783	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420499
Diamond Creek	DCRE	-37.667	145.15	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	281729
Echuca	ECHU	-36.133	144.75	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	210323
Eltham	ELTH	-37.733	145.15	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	281731
Frankston	FRAN	-38.133	145.117	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	352132
Geelong	GEEL	-38.158	144.35	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625577
Hamilton	HAMI	-37.75	142.033	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840887
Hawthorn	HAWT	-37.833	145.033	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420491
Horsham	HORS	-36.717	142.2	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	563363
Hurstbridge	HURS	-37.65	145.217	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	210331
Maryborough	MARY	-37.05	143.75	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	765355
Melbourne	MELB	-37.817	144.967	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	352141
Mildura	MILD	-34.2	142.15	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903103
Moe	MOE	-38.167	146.267	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	704168
Mooroolbark	MOOR	-37.783	145.3	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	140967
Mornington	MORN	-38.217	145.033	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420541
Morwell	MORW	-38.233	146.4	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	281780
Narre Warren	NWAR	-38.033	145.3	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	140974
Newstead	NEWS	-37.117	144.067	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	563346
Noble Park	NPAR	-37.967	145.167	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	140971
Northcote	NORT	-37.7689	144.998	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903050
Nunawading	NUNA	-37.817	145.167	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	563351
Portland	PORT	-38.333	141.6	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	210350
