Road Town	18.43	-64.63	RTOW	British Virgin Islands	VG	British Virgin Islands	VG	America/Tortola	-04:00	-04:00	840810
Cordoba	-31.4	-64.183	CORD	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	704124
Marcos Ju?rez	-32.7	-62.1	MJU?	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	704113
Rio Tercero	-32.183	-64.1	RTER	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	140867
Villa Mar?a	-32.417	-63.25	VMAR	Argentina	AR	Cordoba	CB	America/Argentina/Cordoba	-03:00	-03:00	625533
Vatican	41.9	12.46	VATI	Holy See (Vatican City)	VA	Holy See (Vatican City)	VA	Europe/Vatican	+01:00	+02:00	140869
Kingstown	13.133	-61.217	KING	Saint Vincent and the Grenadines	VC	Saint George	GE	America/St_Vincent	-04:00	-04:00	281682
Apia	-13.8333	-171.733	APIA	Samoa	WS	Samoa	WS	Pacific/Apia	+13:00	+14:00	352074
Ballito	-29.55	31.2	BALL	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	489798
Luj?n de Cuyo	-33.05	-68.867	LDCU	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	903035
Malarg?e	-35.467	-69.583	MALA	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	563298
Mendoza	-32.883	-68.817	MEND	Argentina	AR	Mendoza	MZ	America/Argentina/Mendoza	-03:00	-03:00	210265
Chatsworth	-29.9271	30.8849	CHAT	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	352077
Clermont	-29.792	30.9016	CLER	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840824
Dassenhoek	-29.8575	30.7373	DASS	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	765286
Durban	-29.85	31.017	DURB	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840819
Eshowe	-28.883	31.467	ESHO	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	352068
Salta	-24.79	-65.41	SALT	Argentina	AR	Salta	SA	America/Argentina/Salta	-03:00	-03:00	840816
San Juan	-31.538	-68.536	SJUA	Argentina	AR	San Juan	SJ	America/Argentina/San_Juan	-03:00	-03:00	352125
Folweni	-29.9956	30.8258	FOLW	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	281722
Forest Hill	-29.7539	30.8368	FHIZ	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	489843
Forest Hills	-29.7516	31.072	FHIL	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	352127
Inanda	-29.683	30.9328	INAN	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	765272
Inchanga	-29.6939	30.6716	INCH	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840779
Iqadi	-29.636	30.9191	IQAD	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	625499
Kingsburgh	-30.0829	30.8668	KING	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	840773
Kloof	-29.7819	30.8368	KLOO	South Africa	ZA	KwaZulu-Natal	NL	Africa/Johannesburg	+02:00	+02:00	420477
San Miguel de Tucuman	-26.817	-65.217	SMDT	Argentina	AR	Tucuman	TM	America/Argentina/Tucuman	-03:00	-03:00	902980
Vanadzor	40.8	44.49	VANA	Armenia	AM	Lorri	LO	Asia/Yerevan	+04:00	+04:00	489830
Gyumri	40.7916	43.83	GYUM	Armenia	AM	Shirak	SH	Asia/Yerevan	+04:00	+04:00	140920
Spitak	40.7955	44.27	SPIT	Armenia	AM	Shirak	SH	Asia/Yerevan	+04:00	+04:00	704076
Yerevan	40.1833	44.5	YERE	Armenia	AM	Yerevan	ER	Asia/Yerevan	+04:00	+04:00	489824
Oranjestad	12.517	-70.033	ORAN	Aruba	AW	Aruba	AW	America/Aruba	-04:00	-04:00	625478
Ascot Vale	-37.783	144.917	AVAL	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420455
Bacchus Marsh	-37.683	144.45	BMAR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840794
Bairnsdale	-37.833	147.617	BAIR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625482
Ballarat	-37.567	143.85	BALL	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	902993
Bayswater	-37.85	145.267	BAYS	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	979546
Bendigo	-36.767	144.283	BEND	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	979549
Berwick	-38.033	145.35	BERW	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	563387
Boolarra	-38.383	146.267	BOOL	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	704190
Bright	-36.75	146.967	BRIG	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840873
Cape Otway	-38.85	143.517	COTW	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	704188
Castlemaine	-37.067	144.217	CAST	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	352157
Chelsea	-38.05	145.117	CHES	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	210312
Cheltenham	-37.969	145.048	CHEL	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	489873
Cobram	-35.917	145.65	COBR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840872
Dandenong	-37.983	145.2	DAND	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903080
Deer Park	-37.767	144.783	DPAR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420499
Diamond Creek	-37.667	145.15	DCRE	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	281729
Echuca	-36.133	144.75	ECHU	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	210323
Eltham	-37.733	145.15	ELTH	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	281731
Frankston	-38.133	145.117	FRAN	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	352132
Geelong	-38.158	144.35	GEEL	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625577
Hamilton	-37.75	142.033	HAMI	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840887
Hawthorn	-37.833	145.033	HAWT	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420491
Horsham	-36.717	142.2	HORS	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	563363
Hurstbridge	-37.65	145.217	HURS	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	210331
Maryborough	-37.05	143.75	MARY	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	765355
Melbourne	-37.817	144.967	MELB	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	352141
Mildura	-34.2	142.15	MILD	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903103
Moe	-38.167	146.267	MOE	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	704168
Mooroolbark	-37.783	145.3	MOOR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	140967
Mornington	-38.217	145.033	MORN	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420541
Morwell	-38.233	146.4	MORW	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	281780
Narre Warren	-38.033	145.3	NWAR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	140974
Newstead	-37.117	144.067	NEWS	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	563346
Noble Park	-37.967	145.167	NPAR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	140971
Northcote	-37.7689	144.998	NORT	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903050
Nunawading	-37.817	145.167	NUNA	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	563351
Portland	-38.333	141.6	PORT	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	210350
Prahran	-37.85	145	PRAH	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	281789
Preston	-37.75	145.017	PRES	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	420523
Red Cliffs	-34.317	142.183	RCLI	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	489901
Sale	-38.1	147.067	SALE	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625547
Shepparton	-36.383	145.4	SHEP	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	765318
Sorrento	-38.317	144.733	SORR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	489900
South Yarra	-37.833	144.983	SYAR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625544
Sunbury	-37.583	144.733	SUNB	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	979605
Sunshine	-37.783	144.833	SUNS	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	140986
Swan Hill	-35.35	143.567	SHIL	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903066
Traralgon	-38.183	146.533	TRAR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	625656
Wangaratta	-36.367	146.333	WANG	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	903138
Warrnambool	-38.383	142.483	WARR	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	489949
Wilsons Promontory	-38.65	146.183	WPRO	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	765424
Wodonga	-36.117	146.883	WODO	Australia	AU	Victoria	VI	Australia/Melbourne	+10:00	+11:00	840931
Burnie	-41.067	145.917	BURN	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	704246
Campbell Town	-41.917	147.5	CTOW	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	281820
Claremont	-42.783	147.25	CLAR	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	563443
Devonport	-41.167	146.35	DEVO	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	281797
George Town	-41.1	146.833	GTOW	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	625647
Glenorchy	-42.833	147.283	GLEN	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	489929
Hobart	-42.917	147.333	HOBA	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	281804
Launceston	-41.45	147.167	LAUN	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	210397
Penguin	-41.117	146.067	PENG	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	420548
Strahan	-42.15	145.333	STRA	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	210404
Wynyard	-41	145.717	WYNY	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	420601
Zeehan	-41.883	145.333	ZEEH	Australia	AU	Tasmania	TS	Australia/Hobart	+10:00	+11:00	903108
Abbeywood	-26.1069	151.629	ABBE	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	420592
Abbotsford	-24.8437	152.025	ABBO	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979655
ABINGDON DOWNS	-17.8697	143.703	ADOW	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563404
Abington	-25.2032	152.329	ABIN	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	840919
Acacia Ridge	-27.5896	153.028	ARID	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	765378
Acland	-27.3037	151.691	ACLA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	979678
Adare	-27.5119	152.296	ADAR	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	141044
Advancetown	-28.0331	153.28	ADVA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	563397
AEROGLEN	-16.8834	145.747	AERO	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	489959
Agnes Water	-24.2125	151.903	AWAT	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	210430
Airlie Beach	-20.2679	148.716	ABEA	Australia	AU	Queensland	QL	Australia/Brisbane	+10:00	+10:00	903129
